type,name,ubication,code
"Activo de información
(Datos de clientes, datos de proveedores, Documentos Físicos, 
manuales. Inventarios de hardware, contratos con terceros, otros)",Bases de datos,CLOUD,01CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",PROXMOX,MC,02MC
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",WINDOWS SERVER,CLOUD,01CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",WINDOWS SERVER,CLOUD,02CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",WINDOWS SERVER,CLOUD,03CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",SISTEMA DE GESTIÓN ACADÉMICA,CLOUD,04CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Protal Docente,CLOUD,05CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Portal Alumnos,CLOUD,06CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Portal Adminisiones,CLOUD,07CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Portal Inglés,CLOUD,08CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Portal Becas,CLOUD,09CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Canvas,CLOUD,10CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",SGI - Sistema de Gestión Integral,CLOUD,11CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Zeus,CLOUD,12CLOUD
"Software y licencias
(Software SO licenciado, Software ofimático licenciado, licencias 
de uso de software en outsourcing, otras licencias)",Help Desk,CLOUD,13CLOUD
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",All in One,MC,01MC
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Desktop,MC,02MC
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Laptop,MC,03MC
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Mini PC,MC,04MC
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Control de Acceso ,MC,05MC
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",All in One,JM,06JM
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Desktop,JM,07JM
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Laptop,JM,08JM
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Mini PC,JM,09JM
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Control de Acceso ,JM,10JM
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",All in One,FS,11FS
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Desktop,FS,12FS
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Laptop,FS,13FS
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Mini PC,FS,14FS
"Hardware
(Dispositivos físicos como servidores, computadoras, impresoras, dispositivos móviles y otros equipos que se utilizan en la organización.)",Control de Acceso ,FS,15FS
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",ONT (Entrada Principal),MC,01MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Firewall Fortinet,MC,02MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Firewall SonicWall,MC,03MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Transceiver TP-Link,MC,04MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Switch CORE,MC,05MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Switch Data Center,MC,06MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Switch de Biblioteca,MC,07MC
"Instalación de red
(Infraestructura que incluye routers, switches, cables, puntos de acceso y otros dispositivos y elementos necesarios para la conectividad y comunicación de datos dentro de la organización.)",Switch de Docencia,MC,08MC
